Time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Power [Watt]
0,-183,-90.006,90.001,0.0029,-89.986,180.01,177.81
0.012,-182.99,-90.006,89.99,0.0029,-89.976,180.01,178.65
0.024,-182.97,-90.006,89.948,0.0029,-89.935,180.01,176.89
0.036,-182.91,-90.006,89.855,0.0029,-89.847,180.01,176.9
0.048,-182.81,-90.006,89.694,0.0029,-89.694,180.01,181.51
0.06,-182.67,-90.006,89.449,0.0029,-89.46,180.01,184.76
0.072,-182.46,-90.006,89.102,0.0029,-89.129,180.01,191.41
0.084,-182.18,-90.006,88.636,0.0029,-88.684,180.01,196.19
0.096,-181.82,-90.006,88.036,0.0029,-88.112,180.01,199.03
0.108,-181.38,-90.006,87.301,0.0029,-87.41,180.01,198.07
0.12,-180.86,-90.006,86.436,0.0029,-86.585,180.01,211.43
0.132,-180.28,-90.006,85.455,0.0029,-85.649,180.01,314.18
0.144,-179.63,-90.006,84.37,0.0029,-84.614,180.01,532.7
0.156,-178.92,-90.006,83.19,0.0029,-83.488,180.01,994.48
0.168,-178.16,-90.006,81.921,0.0029,-82.277,180.01,1944.1
0.18,-177.35,-90.006,80.57,0.0029,-80.988,180.01,2950.4
0.192,-176.5,-90.006,79.14,0.0029,-79.624,180.01,4668
0.204,-175.6,-90.006,77.641,0.0029,-78.193,180.01,6445.1
0.216,-174.67,-90.006,76.086,0.0029,-76.71,180.01,8213
0.228,-173.71,-90.006,74.489,0.0029,-75.186,180.01,9732.2
0.24,-172.74,-90.006,72.861,0.0029,-73.633,180.01,10537
0.252,-171.75,-90.006,71.213,0.0029,-72.06,180.01,11036
0.264,-170.76,-90.006,69.557,0.0029,-70.48,180.01,11143
0.276,-169.76,-90.006,67.901,0.0029,-68.9,180.01,11064
0.288,-168.76,-90.006,66.245,0.0029,-67.32,180.01,11191
0.3,-167.75,-90.006,64.589,0.0029,-65.74,180.01,11227
0.312,-166.72,-90.006,62.933,0.0029,-64.16,180.01,10952
0.324,-165.66,-90.006,61.277,0.0029,-62.58,180.01,10520
0.336,-164.56,-90.006,59.621,0.0029,-61,180.01,9631.2
0.348,-163.41,-90.006,57.971,0.0029,-59.426,180.01,8122.8
0.36,-162.22,-90.006,56.347,0.0029,-57.877,180.01,6854.2
0.372,-160.99,-90.006,54.766,0.0029,-56.368,180.01,5236.1
0.384,-159.71,-90.006,53.244,0.0029,-54.916,180.01,4001.8
0.396,-158.4,-90.006,51.791,0.0029,-53.529,180.01,3509.9
0.408,-157.03,-90.006,50.41,0.0029,-52.212,180.01,3335.9
0.42,-155.63,-90.006,49.105,0.0029,-50.967,180.01,3707.9
0.432,-154.17,-90.006,47.881,0.0029,-49.798,180.01,4828.4
0.444,-152.66,-90.006,46.743,0.0029,-48.713,180.01,5357.4
0.456,-151.12,-90.006,45.701,0.0029,-47.719,180.01,5687
0.468,-149.54,-90.006,44.759,0.0029,-46.82,180.01,5333.8
0.48,-147.95,-90.006,43.913,0.0029,-46.013,180.01,4364.3
0.492,-146.33,-90.006,43.158,0.0029,-45.292,180.01,2915.9
0.504,-144.69,-90.006,42.487,0.0029,-44.652,180.01,1887.4
0.516,-143.04,-90.006,41.894,0.0029,-44.086,180.01,1323.8
0.528,-141.38,-90.006,41.373,0.0029,-43.589,180.01,1297.5
