,Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0,0.012,-182.993,-90.0062,89.9904,0.0029,-89.9763,180.011,545.1376502829304
1,0.024,-182.967,-90.0062,89.9475,0.0029,-89.9354,180.011,536.919483785664
2,0.036000000000000004,-182.91099999999997,-90.0062,89.8545,0.0029,-89.8467,180.011,566.9747308967927
3,0.048,-182.815,-90.0062,89.6941,0.0029,-89.6936,180.011,568.6903522632367
4,0.06,-182.669,-90.0062,89.449,0.0029,-89.4598,180.011,505.6982356910128
5,0.07200000000000001,-182.46099999999998,-90.0062,89.102,0.0029,-89.1287,180.011,572.5666175193151
6,0.084,-182.18200000000002,-90.0062,88.6357,0.0029,-88.6838,180.011,566.3059110116645
7,0.096,-181.82299999999998,-90.0062,88.0363,0.0029,-88.1118,180.011,579.7549077859346
8,0.10800000000000001,-181.38299999999998,-90.0062,87.3012,0.0029,-87.4105,180.011,539.3810024927284
9,0.12,-180.862,-90.0062,86.4312,0.0029,-86.5804,180.011,558.1583301142708
10,0.132,-180.26,-90.0062,85.4267,0.0029,-85.6219,180.011,612.8699073158377
11,0.14400000000000002,-179.581,-90.0062,84.292,0.0029,-84.5392,180.011,710.7889528098046
12,0.156,-178.832,-90.0062,83.0408,0.0029,-83.3455,180.011,1140.818720337133
13,0.168,-178.023,-90.0062,81.6896,0.0029,-82.0563,180.011,1832.7709197970032
14,0.18,-177.16400000000002,-90.0062,80.2555,0.0029,-80.688,180.011,2861.7476030396915
15,0.192,-176.265,-90.0062,78.7538,0.0029,-79.2551,180.011,4600.9550904236185
16,0.204,-175.334,-90.0062,77.1987,0.0029,-77.7715,180.011,6504.16768149508
17,0.21600000000000003,-174.37900000000002,-90.0062,75.60300000000001,0.0029,-76.249,180.011,8825.380011634463
18,0.228,-173.40599999999998,-90.0062,73.9783,0.0029,-74.6987,180.011,10553.776472592383
19,0.24,-172.422,-90.0062,72.3347,0.0029,-73.1305,180.011,11889.340643674203
20,0.252,-171.43200000000002,-90.0062,70.6813,0.0029,-71.553,180.011,13690.645930557414
21,0.264,-170.43900000000002,-90.0062,69.0255,0.0029,-69.9732,180.011,15037.756352474238
22,0.276,-169.442,-90.0062,67.3695,0.0029,-68.3932,180.011,14813.60798592562
23,0.28800000000000003,-168.437,-90.0062,65.7134,0.0029,-66.8131,180.011,13647.752688340388
24,0.3,-167.419,-90.0062,64.0575,0.0029,-65.2331,180.011,12549.493732249182
25,0.312,-166.378,-90.0062,62.4014,0.0029,-63.653,180.011,11216.562952660033
26,0.324,-165.30700000000002,-90.0062,60.7456,0.0029,-62.0731,180.011,9193.21164650829
27,0.336,-164.19299999999998,-90.0062,59.0889,0.0029,-60.4924,180.011,8239.13357731477
28,0.348,-163.028,-90.0062,57.4378,0.0029,-58.917,180.011,6888.285076091369
29,0.36,-161.809,-90.0062,55.8073,0.0029,-57.3614,180.011,5560.912370441387
30,0.37200000000000005,-160.536,-90.0062,54.2145,0.0029,-55.8416,180.011,4737.666098986937
31,0.384,-159.211,-90.0061,52.6763,0.0029,-54.373999999999995,180.011,4134.601199288754
32,0.396,-157.835,-90.0061,51.2074,0.0029,-52.9724,180.011,3576.805643673363
33,0.408,-156.414,-90.0061,49.8197,0.0029,-51.6483,180.011,4161.46439655743
34,0.42,-154.951,-90.0061,48.5229,0.0029,-50.411,180.011,4299.826399410473
35,0.43200000000000005,-153.451,-90.0061,47.3235,0.0029,-49.2667,180.011,4735.052064016931
36,0.444,-151.916,-90.0061,46.2254,0.0029,-48.218999999999994,180.011,5945.891074873335
37,0.456,-150.352,-90.0061,45.2291,0.0029,-47.2684,180.011,6977.848504896493
38,0.46799999999999997,-148.762,-90.0061,44.332,0.0029,-46.4124,180.011,7264.254170640106
39,0.48,-147.15,-90.0061,43.5294,0.0029,-45.6468,180.011,6510.314711424552
40,0.49200000000000005,-145.518,-90.0061,42.8154,0.0029,-44.9654,180.011,4899.682227528974
41,0.504,-143.872,-90.0061,42.1833,0.0029,-44.3624,180.011,3294.344396357784
42,0.516,-142.213,-90.0061,41.6267,0.0029,-43.8312,180.011,2631.724318569341
43,0.528,-140.54399999999998,-90.0062,41.138999999999996,0.0029,-43.36600000000001,180.011,1225.7227003591197
44,0.54,-138.869,-90.0062,40.7146,0.0029,-42.9611,180.011,716.0930904585517
45,0.552,-137.191,-90.0062,40.3477,0.0029,-42.611000000000004,180.011,690.0221247087982
46,0.564,-135.511,-90.0062,40.033,0.0029,-42.3107,180.011,704.9308647795132
47,0.5760000000000001,-133.83100000000002,-90.0062,39.7652,0.0029,-42.0552,180.011,952.9132376778816
48,0.588,-132.151,-90.0062,39.5394,0.0029,-41.8397,180.011,889.8195197645024
49,0.6,-130.471,-90.0062,39.3511,0.0029,-41.66,180.011,1223.5833689852432
50,0.612,-128.791,-90.0062,39.1961,0.0029,-41.5122,180.011,1334.5046993611825
51,0.624,-127.111,-90.0062,39.0704,0.0029,-41.3923,180.011,1526.1891729808292
52,0.636,-125.431,-90.0062,38.9704,0.0029,-41.2969,180.011,1573.424908623521
53,0.648,-123.751,-90.0062,38.8924,0.0029,-41.2223,180.011,2092.8847405375495
54,0.66,-122.071,-90.0062,38.8329,0.0029,-41.1656,180.011,2020.6323686679311
55,0.672,-120.391,-90.0062,38.7888,0.0029,-41.1235,180.011,1855.7457066673337
56,0.684,-118.711,-90.0062,38.7572,0.0029,-41.0935,180.011,1920.6161598130634
57,0.696,-117.031,-90.0062,38.7357,0.0029,-41.073,180.011,1908.5316903827888
58,0.708,-115.351,-90.0062,38.7218,0.0029,-41.0597,180.011,1608.056670470692
59,0.72,-113.671,-90.0062,38.7135,0.0029,-41.0518,180.011,1871.0912622009307
60,0.732,-111.991,-90.0062,38.7091,0.0029,-41.0475,180.011,2142.9026139760504
61,0.7440000000000001,-110.311,-90.0062,38.707,0.0029,-41.0455,180.011,2209.934423390369
62,0.7559999999999999,-108.631,-90.0062,38.7063,0.0029,-41.0448,180.011,2618.1915443301205
63,0.768,-106.95100000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2500.3355616438953
64,0.78,-105.271,-90.0062,38.7062,0.0029,-41.0447,180.011,2384.989362965258
65,0.792,-103.59100000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2231.707672794895
66,0.804,-101.911,-90.0062,38.7062,0.0029,-41.0447,180.011,2057.277203468176
67,0.816,-100.23100000000001,-90.0062,38.7062,0.0029,-41.0447,180.011,2169.8022031142646
68,0.828,-98.5507,-90.0062,38.7062,0.0029,-41.0447,180.011,2358.3633914354045
69,0.84,-96.8707,-90.0062,38.7062,0.0029,-41.0447,180.011,2452.917016362517
70,0.852,-95.1908,-90.0062,38.7062,0.0029,-41.0447,180.011,2581.788702863391
71,0.8640000000000001,-93.5108,-90.0062,38.7062,0.0029,-41.0447,180.011,2522.156188476755
72,0.8759999999999999,-91.8308,-90.0062,38.7062,0.0029,-41.0447,180.011,2396.227270599529
73,0.888,-90.1508,-90.0062,38.7062,0.0029,-41.0447,180.011,2256.694240833516
74,0.9,-88.4708,-90.0062,38.7062,0.0029,-41.0447,180.011,2211.7454937466323
75,0.912,-86.7908,-90.0062,38.7062,0.0029,-41.0447,180.011,2126.7783212662393
76,0.924,-85.1108,-90.0062,38.7062,0.0029,-41.0447,180.011,2319.822259941029
77,0.9359999999999999,-83.4308,-90.0062,38.7062,0.0029,-41.0447,180.011,2476.1077511994404
78,0.948,-81.7507,-90.0062,38.7062,0.0029,-41.0447,180.011,2599.4932066809833
79,0.96,-80.0708,-90.0062,38.7062,0.0029,-41.0447,180.011,2559.3897044518576
80,0.972,-78.3908,-90.0062,38.7062,0.0029,-41.0447,180.011,2295.824841366451
81,0.9840000000000001,-76.7108,-90.0062,38.7062,0.0029,-41.0447,180.011,2235.6917442396075
82,0.996,-75.0309,-90.0062,38.7062,0.0029,-41.0447,180.011,2219.8738093801653
83,1.008,-73.3509,-90.0062,38.7062,0.0029,-41.0447,180.011,2161.8268334765494
84,1.02,-71.6712,-90.0062,38.7062,0.0029,-41.0447,180.011,2435.5058986891536
85,1.032,-69.9911,-90.0062,38.7063,0.0029,-41.0447,180.011,2536.5157481575498
86,1.044,-68.31,-90.006,38.7071,0.0029,-41.0447,180.011,2429.047669689917
87,1.056,-66.6303,-90.0054,38.7096,0.0029,-41.0444,180.011,2505.6786331117373
88,1.068,-64.9504,-90.0041,38.7155,0.0029,-41.0437,180.011,2286.761757559178
89,1.08,-63.2706,-90.0015,38.7271,0.0029,-41.0425,180.011,2226.316724625146
90,1.092,-61.591,-89.9969,38.7472,0.0029,-41.0402,180.011,2262.3256539530685
91,1.104,-59.9126,-89.9896,38.7794,0.0029,-41.0367,180.011,2167.6987916980083
92,1.1159999999999999,-58.2369,-89.9786,38.8279,0.0029,-41.0313,180.011,2387.485217535504
93,1.128,-56.5697,-89.9628,38.8977,0.0029,-41.0237,180.011,2468.676320617184
94,1.14,-54.9099,-89.9408,38.9944,0.0029,-41.013000000000005,180.011,2451.858807606462
95,1.1520000000000001,-53.2638,-89.9115,39.1243,0.0029,-40.9987,180.011,2475.5053607776326
96,1.1640000000000001,-51.6339,-89.8731,39.2934,0.0029,-40.9801,180.011,2330.099627300853
97,1.176,-50.0239,-89.8245,39.5078,0.0029,-40.9564,180.011,2178.596580580799
98,1.188,-48.4364,-89.7641,39.7745,0.0029,-40.9271,180.011,2097.127254953466
99,1.2,-46.8756,-89.6902,40.1004,0.0029,-40.8912,180.011,2365.5843148060903
100,1.212,-45.3474,-89.6014,40.4924,0.0029,-40.848,180.011,2534.3111615855164
101,1.224,-43.8578,-89.4958,40.9579,0.0029,-40.7967,180.011,2256.530474534008
102,1.236,-42.4117,-89.37200000000001,41.5043,0.0029,-40.7365,180.011,2159.0327417942813
103,1.248,-41.0173,-89.2285,42.1374,0.0029,-40.6668,180.011,1808.1474606228892
104,1.26,-39.6844,-89.0646,42.8608,0.0029,-40.5872,180.011,1407.969080467847
105,1.272,-38.4221,-88.8797,43.6764,0.0029,-40.4973,180.011,1572.4614990970542
106,1.284,-37.242,-88.6747,44.5812,0.0029,-40.3976,180.011,1116.1309368220186
107,1.296,-36.1509,-88.4503,45.5711,0.00290001,-40.2885,180.011,1074.7822120292915
108,1.308,-35.1553,-88.2083,46.6389,0.00289995,-40.171,180.011,1158.2341554966522
109,1.32,-34.2588,-87.9505,47.7759,0.00290019,-40.0457,180.011,1397.3422412461694
