Time,Angle 1,Angle 2,Angle 3,Angle 4,Angle 5,Angle 6,Power
0.012,-182.993,-90.0062,89.9904,0.0029,-89.9763,180.011,521.5369801262723
0.024,-182.967,-90.0062,89.9475,0.0029,-89.9354,180.011,553.9553667866579
0.036000000000000004,-182.91099999999997,-90.0062,89.8545,0.0029,-89.8467,180.011,589.5898780052219
0.048,-182.815,-90.0062,89.6941,0.0029,-89.6936,180.011,510.8068397589977
0.06,-182.669,-90.0062,89.449,0.0029,-89.4598,180.011,574.054923782204
0.07200000000000001,-182.46099999999998,-90.0062,89.102,0.0029,-89.1287,180.011,527.8755024327099
0.084,-182.18200000000002,-90.0062,88.6357,0.0029,-88.6838,180.011,578.0943051946537
0.096,-181.82299999999998,-90.0062,88.0363,0.0029,-88.1118,180.011,583.4461363293775
0.10800000000000001,-181.38299999999998,-90.0062,87.3012,0.0029,-87.4105,180.011,539.9488247264658
0.12,-180.862,-90.0062,86.4312,0.0029,-86.5803,180.011,597.1812719976317
0.132,-180.261,-90.0062,85.427,0.0029,-85.6222,180.011,511.4321816344865
0.14400000000000002,-179.583,-90.0062,84.2959,0.0029,-84.54299999999999,180.011,710.3069664160015
0.156,-178.838,-90.0062,83.0509,0.0029,-83.3551,180.011,964.0304557129242
0.168,-178.033,-90.0062,81.707,0.0029,-82.0729,180.011,1527.1436410037468
0.18,-177.179,-90.0062,80.28,0.0029,-80.7113,180.011,2522.9896747045777
0.192,-176.28400000000002,-90.0062,78.7851,0.0029,-79.285,180.011,4003.306196361066
0.204,-175.356,-90.0062,77.236,0.0029,-77.8071,180.011,5900.1755002805785
0.21600000000000003,-174.40400000000002,-90.0062,75.6457,0.0029,-76.2897,180.011,8022.781956901303
0.228,-173.435,-90.0062,74.02600000000001,0.0029,-74.7442,180.011,10084.989163569831
0.24,-172.453,-90.0062,72.3864,0.0029,-73.1798,180.011,11456.440264838784
0.252,-171.46400000000003,-90.0062,70.7356,0.0029,-71.6048,180.011,13010.35027949837
0.264,-170.472,-90.0062,69.0801,0.0029,-70.0253,180.011,14573.234132223099
0.276,-169.475,-90.0062,67.4241,0.0029,-68.4452,180.011,14507.982311564192
0.28800000000000003,-168.47099999999998,-90.0062,65.7681,0.0029,-66.8652,180.011,13820.05817540476
0.3,-167.453,-90.0062,64.1121,0.0029,-65.2853,180.011,12776.27296437199
0.312,-166.41299999999998,-90.0062,62.4561,0.0029,-63.7052,180.011,11728.720578404856
0.324,-165.343,-90.0062,60.8,0.0029,-62.125,180.011,9865.163154228587
0.336,-164.232,-90.0062,59.1446,0.0029,-60.5456,180.011,8689.04731304536
