Time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Power [Watt]
0.012,-178,-88.112,115.78,-57.178,59.961,-304.61,81.599
0.024,-178,-88.112,115.78,-57.178,59.961,-304.61,54.867
0.036,-178,-88.112,115.78,-57.178,59.961,-304.61,45.506
0.048,-178,-88.112,115.78,-57.178,59.961,-304.61,47.697
0.06,-178,-88.112,115.78,-57.178,59.961,-304.61,48.603
0.072,-178,-88.112,115.78,-57.178,59.961,-304.61,30.791
0.084,-178,-88.112,115.78,-57.178,59.961,-304.61,16.566
0.096,-178,-88.112,115.78,-57.178,59.961,-304.61,18.171
0.108,-178,-88.112,115.78,-57.178,59.961,-304.61,48.895
0.12,-178,-88.112,115.78,-57.178,59.961,-304.61,46.458
0.132,-178,-88.112,115.78,-57.178,59.961,-304.61,46.751
0.144,-178,-88.112,115.78,-57.178,59.961,-304.61,52.945
0.156,-178,-88.112,115.78,-57.178,59.961,-304.61,3.1704
0.168,-178,-88.112,115.78,-57.178,59.961,-304.61,16.283
0.18,-178,-88.112,115.78,-57.178,59.961,-304.61,0
0.192,-178,-88.112,115.78,-57.178,59.961,-304.61,40.139
0.204,-178,-88.112,115.78,-57.178,59.961,-304.61,64.159
0.216,-178,-88.112,115.78,-57.178,59.961,-304.61,52.702
0.228,-178,-88.112,115.78,-57.178,59.961,-304.61,58.436
0.24,-178,-88.112,115.78,-57.178,59.961,-304.61,33.749
0.252,-178,-88.112,115.78,-57.178,59.961,-304.61,1.4581
0.264,-178,-88.112,115.78,-57.178,59.961,-304.61,34.946
0.276,-178,-88.112,115.78,-57.178,59.961,-304.61,26.602
0.288,-178,-88.112,115.78,-57.178,59.961,-304.61,51.677
0.3,-178,-88.112,115.78,-57.178,59.961,-304.61,77.499
0.312,-178,-88.112,115.78,-57.178,59.961,-304.61,22.703
0.324,-178,-88.112,115.78,-57.178,59.961,-304.61,150.56
0.336,-178,-88.112,115.78,-57.178,59.961,-304.61,199.39
0.348,-178,-88.112,115.78,-57.178,59.961,-304.61,365.91
0.36,-178,-88.112,115.78,-57.178,59.961,-304.61,491.25
0.372,-178,-88.112,115.78,-57.178,59.961,-304.61,626.01
0.384,-178,-88.112,115.78,-57.178,59.961,-304.61,787.06
0.396,-178,-88.112,115.78,-57.178,59.961,-304.61,841.41
0.408,-178,-88.112,115.78,-57.178,59.961,-304.61,873.15
0.42,-178,-88.112,115.78,-57.178,59.961,-304.61,866.53
0.432,-178,-88.112,115.78,-57.178,59.961,-304.61,857.15
0.444,-178,-88.112,115.78,-57.178,59.961,-304.61,901.25
0.456,-178,-88.112,115.78,-57.178,59.961,-304.61,926.6
0.468,-178,-88.112,115.78,-57.178,59.961,-304.61,943.52
0.48,-178,-88.112,115.78,-57.178,59.961,-304.61,961.21
0.492,-178,-88.112,115.78,-57.178,59.961,-304.61,926.91
0.504,-178,-88.112,115.78,-57.178,59.961,-304.61,994.16
0.516,-178,-88.112,115.78,-57.178,59.961,-304.61,992.38
0.528,-178,-88.112,115.78,-57.178,59.961,-304.61,1001.9
0.54,-178,-88.112,115.78,-57.178,59.961,-304.61,968.74
0.552,-178,-88.112,115.78,-57.178,59.961,-304.61,937.32
0.564,-178,-88.112,115.78,-57.178,59.961,-304.61,902.24
0.576,-178,-88.112,115.78,-57.178,59.961,-304.61,935.79
0.588,-178,-88.112,115.78,-57.178,59.961,-304.61,963.94
0.6,-178,-88.112,115.78,-57.178,59.961,-304.61,971.76
0.612,-178,-88.112,115.78,-57.178,59.961,-304.61,992.75
0.624,-178,-88.112,115.78,-57.178,59.961,-304.61,982.43
0.636,-178,-88.112,115.78,-57.178,59.961,-304.61,972.91
0.648,-178,-88.112,115.78,-57.178,59.961,-304.61,956.65
0.66,-178,-88.112,115.78,-57.178,59.961,-304.61,961.41
0.672,-178,-88.112,115.78,-57.178,59.961,-304.61,919.29
0.684,-178,-88.112,115.78,-57.178,59.961,-304.61,919.83
0.696,-178,-88.112,115.78,-57.178,59.961,-304.61,894.32
0.708,-178,-88.112,115.78,-57.178,59.961,-304.61,883.83
0.72,-178,-88.112,115.78,-57.178,59.961,-304.61,878.2
0.732,-178,-88.112,115.78,-57.178,59.961,-304.61,840.7
0.744,-178,-88.112,115.78,-57.178,59.961,-304.61,871.68
0.756,-178,-88.112,115.78,-57.178,59.961,-304.61,874.55
0.768,-178,-88.112,115.78,-57.178,59.961,-304.61,914.74
0.78,-178,-88.112,115.78,-57.178,59.961,-304.61,896.58
0.792,-178,-88.112,115.78,-57.178,59.961,-304.61,900.74
0.804,-178,-88.112,115.78,-57.178,59.961,-304.61,886.56
0.816,-178,-88.112,115.78,-57.178,59.961,-304.61,876.22
0.828,-178,-88.112,115.78,-57.178,59.961,-304.61,947.1
0.84,-178,-88.112,115.78,-57.178,59.961,-304.61,895.83
0.852,-178,-88.112,115.78,-57.178,59.961,-304.61,932.89
0.864,-178,-88.112,115.78,-57.178,59.961,-304.61,932.73
0.876,-178,-88.112,115.78,-57.178,59.961,-304.61,923.83
0.888,-178,-88.112,115.78,-57.178,59.961,-304.61,931.68
0.9,-178,-88.112,115.78,-57.178,59.961,-304.61,898.82
0.912,-178,-88.112,115.78,-57.178,59.961,-304.61,895.78
0.924,-178,-88.112,115.78,-57.178,59.961,-304.61,865.08
0.936,-178,-88.112,115.78,-57.178,59.961,-304.61,843.12
0.948,-178,-88.112,115.78,-57.178,59.961,-304.61,885.29
0.96,-178,-88.112,115.78,-57.178,59.961,-304.61,842.1
0.972,-178,-88.112,115.78,-57.178,59.961,-304.61,840.6
0.984,-178,-88.112,115.78,-57.178,59.961,-304.61,870.85
0.996,-178,-88.112,115.78,-57.178,59.961,-304.61,899.14
1.008,-178,-88.112,115.78,-57.178,59.961,-304.61,944.06
1.02,-178,-88.112,115.78,-57.178,59.961,-304.61,924.94
1.032,-178,-88.112,115.78,-57.178,59.961,-304.61,941.86
1.044,-178,-88.112,115.78,-57.178,59.961,-304.61,917.91
1.056,-178,-88.112,115.78,-57.178,59.961,-304.61,905.87
1.068,-178,-88.112,115.78,-57.178,59.961,-304.61,965.82
1.08,-178,-88.112,115.78,-57.178,59.961,-304.61,961.98
1.092,-178,-88.112,115.78,-57.178,59.961,-304.61,959.91
1.104,-178,-88.112,115.78,-57.178,59.961,-304.61,918.33
1.116,-178,-88.112,115.78,-57.178,59.961,-304.61,866.22
1.128,-178,-88.112,115.78,-57.178,59.961,-304.61,857.01
1.14,-178,-88.112,115.78,-57.178,59.961,-304.61,827.66
1.152,-178,-88.112,115.78,-57.178,59.961,-304.61,848.53
1.164,-178,-88.112,115.78,-57.178,59.961,-304.61,832.66
1.176,-178,-88.112,115.78,-57.178,59.961,-304.61,847.85
1.188,-178,-88.112,115.78,-57.178,59.961,-304.61,904.55
1.2,-178,-88.112,115.78,-57.178,59.961,-304.61,866.56
1.212,-178,-88.112,115.78,-57.178,59.961,-304.61,876.89
1.224,-178,-88.112,115.78,-57.178,59.961,-304.61,831.93
1.236,-178,-88.112,115.78,-57.178,59.961,-304.61,821.4
1.248,-178,-88.112,115.78,-57.178,59.961,-304.61,848.2
1.26,-178,-88.112,115.78,-57.178,59.961,-304.61,839.74
1.272,-178,-88.112,115.78,-57.178,59.961,-304.61,870.85
1.284,-178,-88.112,115.78,-57.178,59.961,-304.61,885.65
1.296,-178,-88.112,115.78,-57.178,59.961,-304.61,877.96
