Time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Power [Watt]
0.012,-178,-88.112,115.78,-57.178,59.961,-304.61,8.5915
0.024,-178,-88.112,115.78,-57.178,59.961,-304.61,14.115
0.036,-178,-88.112,115.78,-57.178,59.961,-304.61,11.746
0.048,-178,-88.112,115.78,-57.178,59.961,-304.61,8.0943
0.06,-178,-88.112,115.78,-57.178,59.961,-304.61,12.282
0.072,-178,-88.112,115.78,-57.178,59.961,-304.61,14.409
0.084,-178,-88.112,115.78,-57.178,59.961,-304.61,18.728
0.096,-178,-88.112,115.78,-57.178,59.961,-304.61,11.669
0.108,-178,-88.112,115.78,-57.178,59.961,-304.61,7.097
0.12,-178,-88.112,115.78,-57.178,59.961,-304.61,11.72
0.132,-178,-88.112,115.78,-57.178,59.961,-304.61,0
0.144,-178,-88.112,115.78,-57.178,59.961,-304.61,3.1359
0.156,-178,-88.112,115.78,-57.178,59.961,-304.61,7.6961
0.168,-178,-88.112,115.78,-57.178,59.961,-304.61,23.437
0.18,-178,-88.112,115.78,-57.178,59.961,-304.61,55.738
0.192,-178,-88.112,115.78,-57.178,59.961,-304.61,93.808
0.204,-178,-88.112,115.78,-57.178,59.961,-304.61,163.24
0.216,-178,-88.112,115.78,-57.178,59.961,-304.61,194.9
0.228,-178,-88.112,115.78,-57.178,59.961,-304.61,223.25
0.24,-178,-88.112,115.78,-57.178,59.961,-304.61,246.27
0.252,-178,-88.112,115.78,-57.178,59.961,-304.61,252.88
0.264,-178,-88.112,115.78,-57.178,59.961,-304.61,271.56
0.276,-178,-88.112,115.78,-57.178,59.961,-304.61,270.14
0.288,-178,-88.112,115.78,-57.178,59.961,-304.61,278.99
0.3,-178,-88.112,115.78,-57.178,59.961,-304.61,282.04
0.312,-178,-88.112,115.78,-57.178,59.961,-304.61,287.07
0.324,-178,-88.112,115.78,-57.178,59.961,-304.61,314.72
0.336,-178,-88.112,115.78,-57.178,59.961,-304.61,319.47
0.348,-178,-88.112,115.78,-57.178,59.961,-304.61,326.11
