Time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Power [Watt],Consumed Power [Watt]
0.012,-10,-130,80.001,160,25,20,-2.0121,-2.0121
0.024,-10.002,-129.99,80.005,160,25,19.999,-1.1101,-1.1101
0.036,-10.005,-129.97,80.014,160,25.001,19.996,10.346,10.346
0.048,-10.011,-129.94,80.03,160.01,25.003,19.992,50.102,50.102
0.06,-10.02,-129.89,80.055,160.01,25.005,19.985,126.29,126.1
0.072,-10.033,-129.83,80.09,160.02,25.007,19.975,222.73,222.73
0.084,-10.05,-129.73,80.138,160.03,25.011,19.962,307.05,308.14
0.096,-10.073,-129.61,80.201,160.05,25.017,19.945,345.81,349.9
0.108,-10.102,-129.46,80.281,160.07,25.023,19.923,341.22,349.96
0.12,-10.137,-129.27,80.378,160.09,25.031,19.896,321.54,334.32
0.132,-10.18,-129.04,80.496,160.12,25.041,19.864,312.04,327.11
0.144,-10.23,-128.77,80.636,160.15,25.052,19.825,312.96,328.68
0.156,-10.289,-128.45,80.799,160.19,25.066,19.78,300.22,318.18
0.168,-10.357,-128.09,80.987,160.23,25.081,19.729,271.25,294.76
0.18,-10.435,-127.68,81.201,160.28,25.099,19.67,243.6,273.52
0.192,-10.521,-127.22,81.44,160.34,25.118,19.605,241.59,274.45
0.204,-10.616,-126.71,81.702,160.4,25.14,19.532,265.37,295
0.216,-10.72,-126.16,81.988,160.47,25.163,19.454,286.32,309.47
0.228,-10.831,-125.56,82.296,160.54,25.188,19.369,292.2,309.35
0.24,-10.95,-124.92,82.624,160.62,25.215,19.279,283.76,299.14
0.252,-11.076,-124.23,82.967,160.7,25.244,19.183,273.48,292.35
0.264,-11.207,-123.5,83.321,160.78,25.273,19.084,255.86,284.63
0.276,-11.343,-122.74,83.68,160.87,25.304,18.983,214.69,261.06
0.288,-11.48,-121.94,84.036,160.95,25.334,18.88,155.57,221.75
0.3,-11.617,-121.1,84.381,161.04,25.365,18.778,104.82,183.51
