Time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Power [Watt]
0.012,-178,-88.112,115.78,-57.178,59.961,-304.61,79.271
0.024,-178,-88.112,115.78,-57.178,59.961,-304.61,75.053
0.036,-178,-88.112,115.78,-57.178,59.961,-304.61,89.45
0.048,-178,-88.112,115.78,-57.178,59.961,-304.61,55.342
0.06,-178,-88.112,115.78,-57.178,59.961,-304.61,57.067
0.072,-178,-88.112,115.78,-57.178,59.961,-304.61,40.871
0.084,-178,-88.112,115.78,-57.178,59.961,-304.61,33.066
0.096,-178,-88.112,115.78,-57.178,59.961,-304.61,64.656
0.108,-178,-88.112,115.78,-57.178,59.961,-304.61,31.36
0.12,-178,-88.112,115.78,-57.178,59.961,-304.61,33.001
0.132,-178,-88.112,115.78,-57.178,59.961,-304.61,0
0.144,-178,-88.112,115.78,-57.178,59.961,-304.61,0.35849
0.156,-178,-88.112,115.78,-57.178,59.961,-304.61,36.669
0.168,-178,-88.112,115.78,-57.178,59.961,-304.61,153.22
0.18,-178,-88.112,115.78,-57.178,59.961,-304.61,348.77
0.192,-178,-88.112,115.78,-57.178,59.961,-304.61,449.06
0.204,-178,-88.112,115.78,-57.178,59.961,-304.61,648.8
0.216,-178,-88.112,115.78,-57.178,59.961,-304.61,766.87
0.228,-178,-88.112,115.78,-57.178,59.961,-304.61,764.21
0.24,-178,-88.112,115.78,-57.178,59.961,-304.61,844.96
0.252,-178,-88.112,115.78,-57.178,59.961,-304.61,838.4
0.264,-178,-88.112,115.78,-57.178,59.961,-304.61,816.03
0.276,-178,-88.112,115.78,-57.178,59.961,-304.61,820.7
0.288,-178,-88.112,115.78,-57.178,59.961,-304.61,772.63
0.3,-178,-88.112,115.78,-57.178,59.961,-304.61,849.49
0.312,-178,-88.112,115.78,-57.178,59.961,-304.61,846.36
0.324,-178,-88.112,115.78,-57.178,59.961,-304.61,912.14
0.336,-178,-88.112,115.78,-57.178,59.961,-304.61,936.59
0.348,-178,-88.112,115.78,-57.178,59.961,-304.61,923.38
0.36,-178,-88.112,115.78,-57.178,59.961,-304.61,997.21
0.372,-178,-88.112,115.78,-57.178,59.961,-304.61,920.26
0.384,-178,-88.112,115.78,-57.178,59.961,-304.61,948.33
0.396,-178,-88.112,115.78,-57.178,59.961,-304.61,931.1
0.408,-178,-88.112,115.78,-57.178,59.961,-304.61,895.05
0.42,-178,-88.112,115.78,-57.178,59.961,-304.61,982.07
0.432,-178,-88.112,115.78,-57.178,59.961,-304.61,925.03
0.444,-178,-88.112,115.78,-57.178,59.961,-304.61,985.83
0.456,-178,-88.112,115.78,-57.178,59.961,-304.61,1012
0.468,-178,-88.112,115.78,-57.178,59.961,-304.61,958.74
0.48,-178,-88.112,115.78,-57.178,59.961,-304.61,1052.6
0.492,-178,-88.112,115.78,-57.178,59.961,-304.61,1041.1
0.504,-178,-88.112,115.78,-57.178,59.961,-304.61,1054.1
