Time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Power [Watt]
0.012,-183,-90.006,89.999,0.0029,-89.985,180.01,144.53
0.024,-182.99,-90.006,89.987,0.0029,-89.973,180.01,148.31
0.036,-182.97,-90.006,89.951,0.0029,-89.939,180.01,151.62
0.048,-182.93,-90.006,89.879,0.0029,-89.87,180.01,161.38
0.06,-182.85,-90.006,89.758,0.0029,-89.754,180.01,171.91
0.072,-182.74,-90.006,89.575,0.0029,-89.58,180.01,184.41
0.084,-182.59,-90.006,89.317,0.0029,-89.334,180.01,182.41
0.096,-182.38,-90.006,88.973,0.0029,-89.006,180.01,187.92
0.108,-182.12,-90.006,88.53,0.0029,-88.583,180.01,187.16
0.12,-181.79,-90.006,87.976,0.0029,-88.054,180.01,187.56
0.132,-181.38,-90.006,87.302,0.0029,-87.411,180.01,224.26
0.144,-180.91,-90.006,86.507,0.0029,-86.652,180.01,266.87
0.156,-180.36,-90.006,85.595,0.0029,-85.782,180.01,416.23
0.168,-179.75,-90.006,84.572,0.0029,-84.807,180.01,674.23
0.18,-179.07,-90.006,83.445,0.0029,-83.731,180.01,1079.6
0.192,-178.34,-90.006,82.221,0.0029,-82.563,180.01,1830.6
0.204,-177.55,-90.006,80.908,0.0029,-81.31,180.01,2529.5
0.216,-176.72,-90.006,79.515,0.0029,-79.982,180.01,3699
0.228,-175.85,-90.006,78.055,0.0029,-78.588,180.01,5042.9
0.24,-174.94,-90.006,76.538,0.0029,-77.141,180.01,6535.1
0.252,-174,-90.006,74.975,0.0029,-75.65,180.01,8187.5
0.264,-173.05,-90.006,73.377,0.0029,-74.125,180.01,9381
0.276,-172.07,-90.006,71.751,0.0029,-72.574,180.01,10622
0.288,-171.09,-90.006,70.106,0.0029,-71.004,180.01,11253
0.3,-170.09,-90.006,68.446,0.0029,-69.42,180.01,11581
0.312,-169.08,-90.006,66.778,0.0029,-67.829,180.01,11690
0.324,-168.07,-90.006,65.106,0.0029,-66.234,180.01,11434
0.336,-167.03,-90.006,63.433,0.0029,-64.637,180.01,10859
0.348,-165.97,-90.006,61.761,0.0029,-63.042,180.01,10336
0.36,-164.88,-90.006,60.096,0.0029,-61.454,180.01,9549.2
0.372,-163.75,-90.006,58.444,0.0029,-59.878,180.01,8483
0.384,-162.57,-90.006,56.817,0.0029,-58.325,180.01,7592.1
0.396,-161.36,-90.006,55.226,0.0029,-56.807,180.01,6519.3
0.408,-160.09,-90.006,53.684,0.0029,-55.336,180.01,5595
0.42,-158.78,-90.006,52.202,0.0029,-53.922,180.01,4985.7
0.432,-157.42,-90.006,50.791,0.0029,-52.575,180.01,4583.7
0.444,-156.02,-90.006,49.461,0.0029,-51.306,180.01,4402.7
0.456,-154.59,-90.006,48.22,0.0029,-50.122,180.01,4614.8
0.468,-153.12,-90.006,47.074,0.0029,-49.029,180.01,4799.4
0.48,-151.62,-90.006,46.027,0.0029,-48.03,180.01,4834.3
0.492,-150.1,-90.006,45.078,0.0029,-47.125,180.01,4720.4
0.504,-148.56,-90.006,44.224,0.0029,-46.309,180.01,4350.8
0.516,-146.99,-90.006,43.458,0.0029,-45.578,180.01,3537.3
0.528,-145.41,-90.006,42.772,0.0029,-44.924,180.01,2924.9
0.54,-143.81,-90.006,42.162,0.0029,-44.342,180.01,2216.3
0.552,-142.19,-90.006,41.621,0.0029,-43.826,180.01,1548.6
