Time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Power [Watt]
0,-183,-90.006,90.001,0.0029,-89.986,180.01,178.35
0.012,-182.99,-90.006,89.99,0.0029,-89.976,180.01,170.22
0.024,-182.97,-90.006,89.948,0.0029,-89.935,180.01,173.39
0.036,-182.91,-90.006,89.855,0.0029,-89.847,180.01,175.12
0.048,-182.81,-90.006,89.694,0.0029,-89.694,180.01,180.57
0.06,-182.67,-90.006,89.449,0.0029,-89.46,180.01,187.81
0.072,-182.46,-90.006,89.102,0.0029,-89.129,180.01,203.22
0.084,-182.18,-90.006,88.636,0.0029,-88.684,180.01,203.59
0.096,-181.82,-90.006,88.036,0.0029,-88.112,180.01,206.74
0.108,-181.38,-90.006,87.301,0.0029,-87.41,180.01,204.33
0.12,-180.86,-90.006,86.431,0.0029,-86.58,180.01,243.94
0.132,-180.26,-90.006,85.427,0.0029,-85.623,180.01,376.49
0.144,-179.59,-90.006,84.302,0.0029,-84.549,180.01,654.12
0.156,-178.85,-90.006,83.067,0.0029,-83.37,180.01,1284
0.168,-178.05,-90.006,81.73,0.0029,-82.095,180.01,2262.1
0.18,-177.2,-90.006,80.308,0.0029,-80.738,180.01,3530.2
0.192,-176.3,-90.006,78.817,0.0029,-79.315,180.01,5410.5
0.204,-175.38,-90.006,77.27,0.0029,-77.839,180.01,7010.3
0.216,-174.42,-90.006,75.679,0.0029,-76.322,180.01,8974.7
0.228,-173.45,-90.006,74.057,0.0029,-74.773,180.01,10666
0.24,-172.47,-90.006,72.413,0.0029,-73.205,180.01,11985
0.252,-171.48,-90.006,70.758,0.0029,-71.626,180.01,12841
0.264,-170.49,-90.006,69.102,0.0029,-70.046,180.01,13238
0.276,-169.49,-90.006,67.446,0.0029,-68.466,180.01,13069
0.288,-168.48,-90.006,65.79,0.0029,-66.886,180.01,12368
0.3,-167.47,-90.006,64.134,0.0029,-65.306,180.01,11383
0.312,-166.43,-90.006,62.478,0.0029,-63.726,180.01,10118
0.324,-165.36,-90.006,60.822,0.0029,-62.146,180.01,8861.7
0.336,-164.25,-90.006,59.166,0.0029,-60.566,180.01,7512
0.348,-163.08,-90.006,57.513,0.0029,-58.989,180.01,6322.8
0.36,-161.86,-90.006,55.878,0.0029,-57.429,180.01,5127
0.372,-160.59,-90.006,54.279,0.0029,-55.903,180.01,4044.5
0.384,-159.26,-90.006,52.733,0.0029,-54.428,180.01,3659
0.396,-157.88,-90.006,51.256,0.0029,-53.019,180.01,3482.1
0.408,-156.46,-90.006,49.862,0.0029,-51.688,180.01,3654.9
0.42,-154.99,-90.006,48.559,0.0029,-50.445,180.01,4322.3
0.432,-153.49,-90.006,47.355,0.0029,-49.296,180.01,5107.2
0.444,-151.96,-90.006,46.252,0.0029,-48.245,180.01,5725.1
0.456,-150.39,-90.006,45.252,0.0029,-47.291,180.01,6313.3
0.468,-148.8,-90.006,44.352,0.0029,-46.432,180.01,6088.1
0.48,-147.19,-90.006,43.548,0.0029,-45.664,180.01,5292.4
0.492,-145.56,-90.006,42.831,0.0029,-44.981,180.01,4046.6
0.504,-143.91,-90.006,42.197,0.0029,-44.376,180.01,2815.5
0.516,-142.25,-90.006,41.639,0.0029,-43.843,180.01,1624.6
0.528,-140.58,-90.006,41.15,0.0029,-43.376,180.01,941.13
0.54,-138.91,-90.006,40.724,0.0029,-42.97,180.01,375.28
0.552,-137.23,-90.006,40.355,0.0029,-42.618,180.01,266.94
0.564,-135.55,-90.006,40.04,0.0029,-42.317,180.01,233.57
0.576,-133.87,-90.006,39.771,0.0029,-42.061,180.01,368.62
0.588,-132.19,-90.006,39.544,0.0029,-41.844,180.01,603.85
0.6,-130.51,-90.006,39.355,0.0029,-41.664,180.01,767.59
0.612,-128.83,-90.006,39.199,0.0029,-41.515,180.01,1073.4
0.624,-127.15,-90.006,39.073,0.0029,-41.395,180.01,1202.3
0.636,-125.47,-90.006,38.972,0.0029,-41.299,180.01,1352.3
0.648,-123.79,-90.006,38.894,0.0029,-41.224,180.01,1514.5
